game_name_android,game_name_steam,mapping_name
Asphalt 9: Legends,Asphalt Legends Unite,Asphalt 9: Legends
Sniper Fury: Shooting Game,Sniper Fury,Sniper Fury: Shooting Game
Dungeon Hunter 5:  Action RPG,Dungeon Hunter 5,Dungeon Hunter 5:  Action RPG
Heroes of the Dark: RPG Game,Heroes Of The Dark,Heroes of the Dark: RPG Game
Iron Blade: Medieval Legends,Iron Blade,Iron Blade: Medieval Legends
March of Empires: War of Lords,March of Empires,March of Empires: War of Lords
Modern Combat 5: mobile FPS,Modern Combat 5,Modern Combat 5
Modern Combat Versus: FPS game,Modern Combat Versus,Modern Combat Versus
Sniper Fury: Shooting Game,Sniper Fury,Sniper Fury: Shooting Game
War Planet Online: MMO Game,War Planet Online: Global Conquest,War Planet Online
