title,summary,installs,score,ratings,reviews,size,androidVersion,genreId,contentRating,released,updated,version
Asphalt 8 - Car Racing Game,Racing multiplayer online game. Drive cars and motorcycles.,100000000,4.4744434,10191799,280041,177M,5,RACING,Everyone 10+,8/20/2013,4/18/2022,6.2.3b
Asphalt 9: Legends,Online multiplayer street auto racing game with high luxury car brands.,50000000,4.4719715,2443874,61954,Varies with device,7,RACING,Everyone 10+,7/25/2018,4/28/2022,3.4.5a
Asphalt Nitro,Car racing game with luxury licensed brands,100000000,4.2858825,1743070,16204,46M,4.1,RACING,Everyone,11/5/2015,3/21/2022,1.7.5a
Blitz Brigade - Online FPS,Multiplayer online war FPS game. Team up in a military world.,10000000,4.012917,1600577,72208,49M,4.1,ACTION,Everyone 10+,5/9/2013,1/11/2021,3.6.2a
Brothers in Arms 3,Multiplayer shooting action combat World War 2 game,10000000,4.456277,1488609,27230,47M,4.1,ARCADE,Mature 17+,12/17/2014,2/10/2022,1.5.4a
City Mania: Town Building Game,Build a futuristic city with hundreds of buildings and characters,10000000,3.8245745,257196,4985,45M,4.0.3,SIMULATION,Everyone,4/26/2017,6/15/2021,1.9.2a
Disney Magic Kingdoms,Create a magical Disney Park filled with memorable characters and attractions.,50000000,4.3356824,652243,35802,100M,5,SIMULATION,Everyone,3/17/2016,4/22/2022,6.8.0p
Disney Princess Majestic Quest,Match 3 to Solve Disney Princesses Puzzles,5000000,4.5879493,65776,3331,143M,4.1,PUZZLE,Everyone,10/9/2019,12/10/2020,1.7.1b
Dragon Mania Legends,Magical dragon game. Merge or collect dragons in a city and fight battles,100000000,4.4488373,2955018,83040,Varies with device,5,ADVENTURE,Everyone,1/7/2015,4/19/2022,Varies with device
Dungeon Hunter 5:  Action RPG,PvP adventure game with rising heroes to grab the sword and claim power,10000000,4.099695,773344,25662,66M,5,ROLE_PLAYING,Teen,3/11/2015,4/18/2022,6.4.1a
Dungeon Hunter Champions,Online action RPG fight in live PVP 5v5 battles with customizable teams,1000000,3.6993568,47672,2723,Varies with device,4.4,ROLE_PLAYING,Teen,5/2/2018,2/1/2021,1.8.36
Gameloft Classics: 20 Years,Game collection pack with over 30 Gameloft titles from the last 20 years,5000000,4.1955056,139598,1989,75M,4.1,ARCADE,Teen,4/15/2020,7/16/2020,1.2.5
Gangstar New Orleans,Action game mafia style in an open-world. Join gangs and combat along,10000000,4.3723617,781373,22164,66M,4.1,ROLE_PLAYING,Mature 17+,3/29/2017,7/14/2021,2.1.1a
Gangstar Vegas: World of Crime,RPG crime and mafia online game set in Las Vegas,100000000,4.3345423,6556484,174148,51M,5,ACTION,Mature 17+,6/19/2013,3/30/2022,5.6.0k
Gods of Rome,Join fighting warriors in a mortal battle with the gods,10000000,4.310612,543493,14231,35M,4.0.3,ACTION,Teen,12/17/2015,12/7/2020,1.9.7a
Green Farm 3,Farming simulator- with missions to complete and friends to join,10000000,4.2777777,952773,13100,23M,4.4,CASUAL,Everyone,9/10/2013,8/25/2021,4.4.3
GT Racing 2: real car game,Automotive with A-list cars for a racing experience journey,10000000,4.408498,1794214,67753,31M,4.1,RACING,Everyone,11/14/2013,10/29/2021,1.6.1c
Heroes of Order & Chaos,Multiplayer team game to fight in an online battle arena,10000000,3.9009733,726112,27451,37M,4.1,STRATEGY,Teen,12/5/2012,2/24/2021,3.6.5a
Heroes of the Dark: RPG Game,A strategy RPG with Heroes. The rise of a Dark Empire with Vampires & Werewolves,500000,4.2288556,21175,743,98M,5,ROLE_PLAYING,Teen,10/26/2021,3/29/2022,1.6.0
Ice Age Adventures,Join Sid- Manny and Diego in a new and exciting ICE AGE adventure!,50000000,4.3380184,1441674,33980,61M,4.1,ADVENTURE,Everyone,8/6/2014,4/26/2022,2.1.1a
Ice Age Village,Discover what's above and beneath the ice in ICE AGE VILLAGE,50000000,4.4289293,1907405,98467,53M,4.1,CASUAL,Everyone 10+,4/5/2012,4/26/2022,3.6.1a
Iron Blade: Medieval Legends,Medieval RPG game with demons- darkness and war. Make a hero and grab the sword,10000000,4.202603,345286,9644,43M,4.4,ACTION,Mature 17+,5/24/2017,9/29/2020,2.3.0h
Little Big City 2,Game to uncover island's hidden wonders & use them to build a metropolis,10000000,4.1084085,453349,4678,30M,4.1,CASUAL,Everyone,8/22/2016,7/17/2020,9.4.1
March of Empires: War of Lords,Become king in an MMO strategy game full of war- intrigue and conquest!,10000000,3.6781712,339459,9148,267M,7,STRATEGY,Everyone 10+,8/4/2015,4/12/2022,6.3.0h
Minion Rush: Running Game,Official Minions and Despicable Me endless runner game,500000000,4.5919003,10724213,608639,127M,5,CASUAL,Everyone 10+,6/13/2013,2/3/2022,8.3.1a
Modern Combat 5,Team first time shooter challenges. Shooting classes and modern combat style,100000000,4.4961934,3716885,104630,53M,5,ACTION,Mature 17+,7/23/2014,10/7/2021,5.8.7a
Modern Combat Versus,PVP warfare online multiplayer FPS game,10000000,3.9664059,230531,11424,57M,5,ROLE_PLAYING,Teen,9/27/2017,3/18/2021,1.17.32
My Little Pony: Magic Princess,Official game to adventure with Twilight Sparkle- Rainbow Dash & more ponies,50000000,4.2731447,1451476,71686,53M,4.4,CASUAL,Everyone,11/8/2012,4/14/2022,7.5.1a
N.O.V.A. Legacy,N.O.V.A. Legacy game; multiplayer FPS experience,50000000,3.9989161,1592747,32576,45M,4.0.3,ACTION,Everyone 10+,3/27/2017,10/15/2020,5.8.3c
Order & Chaos 2: 3D MMO RPG,Fantasy heroes on the road to redemption. MMORPG game.,10000000,3.735089,263719,10824,54M,4.0.3,ROLE_PLAYING,Teen,9/16/2015,8/13/2018,3.1.3a
Order & Chaos Online 3D MMORPG,Battle Orcs and Demons in a massive multiplayer role-playing adventure,5000000,4.3472295,475583,36629,37M,4.1,ROLE_PLAYING,Teen,6/20/2011,12/15/2021,4.2.5a
Paddington Run game,Infinite run through London with Paddington collecting marmalade and tokens,1000000,3.96,10353,249,32M,4.1,ACTION,Everyone,10/25/2017,10/20/2020,1.2.6a
Real Football,Experience soccer both on and off the pitch with Real Football,50000000,3.7666981,970452,4662,31M,4.4,SPORTS,Everyone 10+,9/29/2016,8/24/2021,1.7.2
Rival Knights,Adventure challenge game to battle for glory and victory,5000000,4.2744746,355751,11280,31M,4,ACTION,Teen,6/4/2014,4/15/2021,1.2.4b
Six-Guns: Gang Showdown,An adventure game to discover the Wild West,10000000,4.4072905,2095336,94101,27M,4.1,ACTION,Teen,3/15/2012,3/21/2022,2.9.9a
Sniper Fury: Shooting Game,A 3D sniping game to hunt elite hitmen and shooter assassins. Ready to snipe?,50000000,4.3248034,1025668,20414,71M,5,ACTION,Mature 17+,12/2/2015,2/2/2022,6.2.2a
Total Conquest,Simulation game to rule the Roman Empire,10000000,4.2043133,355774,10513,30M,4.1,STRATEGY,Everyone 10+,9/19/2013,1/18/2021,2.1.5a
War Planet Online,Be a war lord. Conquer the world. Build an army to dominate,5000000,4.23991,98200,3461,832M,5,STRATEGY,Everyone 10+,8/30/2017,4/21/2022,4.5.1
Wonder Zoo: Animal rescue game,Rescue animals in a wild safari adventure and welcome them into the zoo.,10000000,4.483658,669377,29392,51M,2.3,CASUAL,Everyone,11/21/2012,1/13/2021,2.1.1a
World at Arms,World at Arms is the groundbreaking modern-war strategy game by Gameloft!,10000000,4.205989,763324,38186,34M,4.0.3,STRATEGY,Teen,11/28/2012,5/25/2018,4.2.4d
